ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti
Muzec (Musc),Julijske Alpe,1612,341526,824,4,1

Slatnik (severozahodni vrh),Julijske Alpe,1609,451860,413,11,4

Možic,Julijske Alpe,1602,515475,206,10,7

Planina za Migovcem,Julijske Alpe,1600,230663,1255,5,3

Nemške glave,Julijske Alpe,1597,299983,987,2,1

Slatnik (jugovzhodni vrh),Julijske Alpe,1597,2574,2067,11,4

Jerebikovec,Julijske Alpe,1593,495212,266,1,2

Bivak Stuparich,Julijske Alpe,1587,237259,1234,4,1

Šavnik,Julijske Alpe,1574,433385,480,10,6

Grušnica,Julijske Alpe,1570,1990,2112,3,5

Višarska planina / Malga di Lussari,Julijske Alpe,1570,323438,894,3,2

Visoki Mavrinc,Julijske Alpe,1562,439894,456,7,2

Planina Dedno Polje,Julijske Alpe,1560,454070,398,14,3

Planina v Lazu,Julijske Alpe,1560,447157,429,13,2

Planina Lopučnica,Julijske Alpe,1558,248038,1189,5,6

Javoršček,Julijske Alpe,1557,385708,658,3,2

Planina Klek,Julijske Alpe,1556,413566,554,1,2

Mojčin dom na Vitrancu,Julijske Alpe,1555,498920,254,3,5

Planja (nad Mangartsko planino),Julijske Alpe,1553,300,2468,1,1

Bivak pod Muzcem,Julijske Alpe,1550,317413,918,4,1

Lajnar,Julijske Alpe,1549,475585,333,10,4

Planina v Plazeh,Julijske Alpe,1548,241782,1213,2,2

Dravh,Julijske Alpe,1547,422987,522,9,3

Dom na Matajure,Julijske Alpe,1545,358718,757,2,2

Požar,Julijske Alpe,1543,206501,1353,3,2

Kravja Črna gora,Julijske Alpe,1541,304142,967,6,1

Visoka glava (na Matajurju),Julijske Alpe,1540,420,2404,3,1

Mesnovec,Julijske Alpe,1538,270729,1099,2,1

Planinska koča Merjasec,Julijske Alpe,1535,431286,490,3,3

Planina na Polju,Julijske Alpe,1530,374086,701,11,1

Viška planina,Julijske Alpe,1530,285912,1042,7,1

Lovska koča na Glinu,Julijske Alpe,1527,160948,1529,9,5

Erjavčeva koča na Vršiču,Julijske Alpe,1525,472698,338,16,2

Dom na Komni,Julijske Alpe,1520,622456,47,2,8

Rifugio Cinque Punte,Julijske Alpe,1520,242649,1208,1,1

Krevl,Julijske Alpe,1515,302331,976,7,8

Planina Ravna,Julijske Alpe,1515,181580,1449,2,1

Koča pod Bogatinom,Julijske Alpe,1513,500499,250,2,3

Planina Za skalo,Julijske Alpe,1510,354280,778,0,1

Lovska koča Na Utrci,Julijske Alpe,1500,234103,1244,12,1

Rifugio Pellarini,Julijske Alpe,1499,272977,1094,3,1

Kobla,Julijske Alpe,1498,461236,377,6,4

Lengarjeva glava,Julijske Alpe,1498,166457,1509,6,1

Planina na Kalu,Julijske Alpe,1490,275220,1084,3,6

Nizki vrh ,Julijske Alpe,1488,212564,1330,4,1

Planina Vodični vrh,Julijske Alpe,1486,303401,971,6,1

Črni vrh / Colrotondo,Julijske Alpe,1486,520,2365,3,2

Javorov vrh (Pokljuka),Julijske Alpe,1482,434283,475,3,1

Bivak pod Luknjo,Julijske Alpe,1480,464030,366,9,1

Planina Govnjač,Julijske Alpe,1480,365881,732,8,1

Kobilja glava,Julijske Alpe,1475,423075,521,4,2

Planina Poljana,Julijske Alpe,1466,222400,1288,9,4

Vrtaška planina,Julijske Alpe,1462,417630,537,5,2

Koča na Planini pri Jezeru,Julijske Alpe,1453,563926,108,6,5

Jalovnik,Julijske Alpe,1452,268157,1110,4,2

Planina Sleme,Julijske Alpe,1448,361386,749,7,2

Planina Konjščica,Julijske Alpe,1438,515986,205,8,5

Rifugio Brunner,Julijske Alpe,1432,240,2504,2,1

Bivak pod Špikom,Julijske Alpe,1424,448556,426,11,2

Planina Zadnji Vogel,Julijske Alpe,1413,383212,671,8,2

Planina Gorjuda,Julijske Alpe,1404,194681,1399,2,1

Planina Osredki,Julijske Alpe,1400,262790,1131,6,2

Planina nad Sočo,Julijske Alpe,1400,273012,1093,4,1

Krnsko jezero,Julijske Alpe,1391,629459,38,6,2

Rifugio Grego,Julijske Alpe,1389,282512,1058,1,1

Dom pri Krnskih jezerih,Julijske Alpe,1385,531611,162,7,2

Planina Suha,Julijske Alpe,1385,394405,625,7,5

Rifugio Zacchi,Julijske Alpe,1380,366920,729,8,1

Tonkina koča na Vršiču,Julijske Alpe,1380,9669,1985,13,1

Planica pod Krnom,Julijske Alpe,1376,222941,1286,3,2

Lipenšči hrib,Julijske Alpe,1375,220484,1295,1,1

Mali Karman / Monte Cuarnan,Julijske Alpe,1372,198257,1385,2,1

Javor (nad Tolminskimi Ravnami),Julijske Alpe,1363,1090,2227,3,3

Mrzli vrh nad planino Pretovč,Julijske Alpe,1359,407398,579,3,3

Planina Strehica,Julijske Alpe,1359,157106,1546,2,1

Mrzli vrh (na Matajurju),Julijske Alpe,1358,442391,447,3,2

Črna gora,Julijske Alpe,1350,398464,608,5,1

Bivak Za Akom,Julijske Alpe,1340,396436,611,9,1

Planina Za Črno goro,Julijske Alpe,1340,316981,919,6,6

Orožnova koča na planini za Liscem,Julijske Alpe,1338,507735,229,5,4

Planina Goričica,Julijske Alpe,1336,368510,721,2,1

Frčkova planina,Julijske Alpe,1335,186873,1427,2,1

Planina za Šavnikom,Julijske Alpe,1320,321960,901,8,1

Srednji vrh (na Matajurju),Julijske Alpe,1320,260,2486,3,1

Koča na planini Razor,Julijske Alpe,1315,550812,125,6,5

Kota 1313,Julijske Alpe,1313,382788,674,1,1

Koča na Soriški planini,Julijske Alpe,1306,497408,259,10,4

Planina Dobrenjščica,Julijske Alpe,1304,280988,1062,8,1

Lovska koča Bala,Julijske Alpe,1300,218882,1302,2,1

Mangartska planina,Julijske Alpe,1295,2140,2098,2,1

Črno jezero,Julijske Alpe,1294,530481,167,10,3

Planina Zajavornik,Julijske Alpe,1292,441091,454,1,1

Planina Zajamniki,Julijske Alpe,1280,534777,155,1,3

Vrh Bače,Julijske Alpe,1273,382014,676,11,3

