ime planinske točke,ime bližnje točke,višina bližnje točke (m) 
Velika Baba (Kanin),Skutnik /Monte Guarda,1721
Velika Bavha / Monte Robon,Velika Črnelska špica,2332
Velika Bavha / Monte Robon,Speleološki bivak Modonutti - Savoia,1908
Velika Bavha / Monte Robon,Škraplja,1794
Velika Boncla,Kamnitnik,1858
Velika Boncla,Bivak na Belščici,1750
Velika Boncla,Hrašenska planina,1670
Velika Boncla,Planina Stamare,1400
Velika Boncla,Alničje,1145
Velika Boncla,Mala Boncla (Bavha),1131
Velika Boncla,Izvir Javornika,1000
Velika Boncla,Dom Pristava v Javorniškem Rovtu,975
Velika Boncla,Gank,850
Velika Boncla,Javorniški slapovi,690
Velika Martuljška Ponca,Škrlatica,2740
Velika Martuljška Ponca,Visoki Rokav,2646
Velika Martuljška Ponca,Veliki Oltar,2621
Velika Martuljška Ponca,Dolkova špica,2591
Velika Martuljška Ponca,Rogljica,2547
Velika Martuljška Ponca,Dovški križ,2542
Velika Martuljška Ponca,Mala Martuljška Ponca,2501
Velika Martuljška Ponca,Spodnji Rokav,2500
Velika Martuljška Ponca,Široka peč,2497
Velika Martuljška Ponca,Špik,2472
Velika Martuljška Ponca,Šplevta,2272
Velika Martuljška Ponca,Bivak na Jezerih,2118
Velika Martuljška Ponca,Na Pečeh,2039
Velika Martuljška Ponca,Pri treh macesnih,1810
Velika Martuljška Ponca,Bivak pod Špikom,1424
Velika Mojstrovka,Travnik,2379
Velika Mojstrovka,Zadnja Mojstrovka,2354
Velika Mojstrovka,Kol,2350
Velika Mojstrovka,Mala Mojstrovka,2332
Velika Mojstrovka,Suhi vrh,2109
Velika Mojstrovka,Šitna glava,2087
Velika Mojstrovka,Prednje Robičje,1941
Velika Mojstrovka,Slemenova špica,1911
Velika Mojstrovka,Vršič vrh,1737
Velika Mojstrovka,Poštarski dom na Vršiču,1688
Velika Mojstrovka,Tičarjev dom na Vršiču,1618
Velika Mojstrovka,Erjavčeva koča na Vršiču,1525
Velika Mojstrovka,Dom v Tamarju,1108
Velika Montura,Velika Baba,2016
Velika Montura,Lanževica,2003
Velika Montura,Bogatin,1977
Velika Montura,Dom pri Krnskih jezerih,1385
Velika Poljana,Tolsti vrh,1715
Velika Poljana,Grebenc,1479
Velika Poljana,Krničarjeva koča na planini Javornik,1390
Velika Poljana,Mala Poljana,1325
Velika Poljana,Dom pod Storžičem,1123
Velika Raduha,Mala Raduha,2029
Velika Raduha,Lanež,1925
Velika Raduha,Planina Arta,1564
Velika Raduha,Koča na Loki pod Raduho,1534
Velika Raduha,Koča na Grohatu,1460
Velika Tičarica,Mala Zelnarica,2310
Velika Tičarica,Srednji Vogel,2226
Velika Tičarica,Kopica,2190
Velika Tičarica,Prvi Vogel,2181
Velika Tičarica,Slatna,2077
Velika Tičarica,Mala Tičarica,2071
Velika Tičarica,Kreda,2025
Velika Tičarica,Vrh nad Vodeno Rupo,1995
Velika Tičarica,Bela glava,1926
Velika Tičarica,Rušnata glava,1899
Velika Tičarica,Jezero v Ledvicah,1831
Velika Tičarica,Kovačičeva glava,1827
Velika Tičarica,Visoka glava,1822
Velika Tičarica,Koča pri Triglavskih jezerih,1685
Velika Tičarica,Planina Ovčarija,1660
Velika Tičarica,Planina Lopučnica,1558
Velika Zelenica,Veliki vrh (Veža),2110
Velika Zelenica,Molička peč,2029
Velika Zelenica,Mala Ojstrica,2017
Velika Zelenica,Tolsti vrh (Veža),1985
Velika Zelenica,Deska (Veža),1970
Velika Zelenica,Dleskovec,1965
Velika Zelenica,Jamarski bivak na Dleskovški planoti,1910
Velika Zelenica,Vodotočno jezero (Veža),1850
Velika Zelenica,Kocbekov dom na Korošici,1808
Velika Zelenica,Kapelica na Molički planini,1780
Velika Zelenica,Robanova planina,890
Velika Zelnarica,Poprovec,2496
Velika Zelnarica,Teme (Hribarice),2495
Velika Zelnarica,Vršaki (Vzhodni vrh),2448
Velika Zelnarica,Vršaki (Južni vrh),2431
Velika Zelnarica,Vršaki (Srednji vrh),2424
Velika Zelnarica,Vršaki (Vrh za Koritami),2422
Velika Zelnarica,Veliko Špičje,2398
Velika Zelnarica,Debeli vrh,2390
Velika Zelnarica,Zadnji Vogel,2327
Velika Zelnarica,Malo Špičje,2312
Velika Zelnarica,Mala Zelnarica,2310
Velika Zelnarica,Srednji Vogel,2226
Velika Zelnarica,Kopica,2190
Velika Zelnarica,Prvi Vogel,2181
Velika Zelnarica,Slatna,2077
Velika Zelnarica,Zasavska koča na Prehodavcih,2071
Velika Zelnarica,Rjavo jezero,2006
Velika Zelnarica,Vrh nad Vodeno Rupo,1995
Velika Zelnarica,Zeleno jezero,1988
Velika Zelnarica,Jezero v Ledvicah,1831
Velika glava,Kordeževa glava (Peca),2125
Velika glava,Bistriška špica/Feistritzer Spitze,2113
Velika glava,Končnikov vrh,2109
Velika glava,Alpengasthof Siebenhütten,1693
Velika korita Soče,Vrh Ovčje planje,1965
Velika korita Soče,Planina nad Sočo,1400
Velika Črnelska špica,Lopa,2406
Velika Črnelska špica,Velika Bavha / Monte Robon,1980
Velika Črnelska špica,Speleološki bivak Modonutti - Savoia,1908
Velika Črnelska špica,Škraplja,1794
Veliki Babanski Skedenj,Velika Baba (Kanin),2148
Veliki Babanski Skedenj,Stara koča na Kaninu,1814
Veliki Babanski Skedenj,Izvir Boke,850
Veliki Babanski Skedenj,Slap Boka,680
Veliki Draški vrh,Tosc,2275
Veliki Draški vrh,Vernar,2225
Veliki Draški vrh,Mali Draški vrh,2132
Veliki Draški vrh,Cesar,2098
Veliki Draški vrh,Viševnik,2050
Veliki Draški vrh,Ablanca,2004
Veliki Draški vrh,Draški rob,1979
Veliki Draški vrh,Studorski preval,1892
Veliki Draški vrh,Vodnikov dom na Velem polju,1817
Veliki Draški vrh,Planina Zgornja Krma,1720
Veliki Draški vrh,Velo polje,1680
Veliki Javornik (Ženiklovec),Mali Javornik,1685
Veliki Javornik (Ženiklovec),Bela peč,1583
Veliki Javornik (Ženiklovec),Planina Javornik,1550
Veliki Javornik (Ženiklovec),Spominska plošča Jožeta Rozmana,1450
Veliki Javornik (Ženiklovec),Koča Pr Zdravc,1448
Veliki Karman / Monte Chiampon,Mali Karman / Monte Cuarnan,1372
Veliki Karman / Monte Chiampon,Malga Cuarnan,1070
Veliki Lemež,Krnčica,2142
Veliki Lemež,Lopatnik,2012
Veliki Lemež,Vogel (nad Lepeno),1980
Veliki Lemež,Veliki Šmohor,1944
Veliki Lemež,Mali Šmohor,1939
Veliki Lemež,Planina na Polju,1530
Veliki Lemež,Krnsko jezero,1391
Veliki Lemež,Dom pri Krnskih jezerih,1385
Veliki Mošenik / Große Muschenig,Podgorska planina / Maria Elender Alm,930
Veliki Nabojs / Monte Nabois grande,Viš/Jof Fuart,2666
Veliki Nabojs / Monte Nabois grande,Koštrunove špice,2502
Veliki Nabojs / Monte Nabois grande,Rifugio Pellarini,1499
Veliki Oltar,Škrlatica,2740
Veliki Oltar,Visoki Rokav,2646
Veliki Oltar,Velika Martuljška Ponca,2602
Veliki Oltar,Dolkova špica,2591
Veliki Oltar,Rogljica,2547
Veliki Oltar,Dovški križ,2542
Veliki Oltar,Mala Martuljška Ponca,2501
Veliki Oltar,Spodnji Rokav,2500
Veliki Oltar,Široka peč,2497
Veliki Oltar,Špik,2472
Veliki Oltar,Šplevta,2272
Veliki Oltar,Bivak na Jezerih,2118
Veliki Oltar,Na Pečeh,2039
Veliki Oltar,Pri treh macesnih,1810
Veliki Ozebnik,Jalovec,2645
Veliki Ozebnik,Mali Ozebnik,2324
Veliki Ozebnik,Plešivec (Loška stena),2184
Veliki Ozebnik,Kotovo sedlo,2134
Veliki Ozebnik,Zavetišče pod Špičkom,2064
Veliki Ozebnik,Bivak pod Kotovim sedlom,1965
Veliki Pršivec,Rjavina,2532
Veliki Pršivec,Teme,2136
Veliki Pršivec,Draški rob,1979
Veliki Rob / Großer Rain,Kosmatica / Kosmatitza,1659
Veliki Rob / Großer Rain,Vgrizeva planina / Ogrisalm,1569
Veliki Rob / Großer Rain,Veronjak / Hausberg,1348
Veliki Rogatec (Veliki Rogac),Lepenatka,1425
Veliki Rogatec (Veliki Rogac),Kunšperski vrh (Brezovec),1336
Veliki Rogatec (Veliki Rogac),Bivak na Kalu,1285
Veliki Rogatec (Veliki Rogac),Mali Rogatec (Mali Rogac),1228
Veliki Rogatec (Veliki Rogac),Sveti Lenart nad Gornjim Gradom,929
Veliki Selišnik,Mali Draški vrh,2132
Veliki Selišnik,Viševnik,2050
Veliki Selišnik,Draški rob,1979
Veliki Selišnik,Lipanski vrh,1974
Veliki Selišnik,Mrežce,1965
Veliki Selišnik,Debeli vrh nad Lipanco,1962
Veliki Selišnik,Vrh Razora,1893
Veliki Selišnik,Srednji Selišnik,1890
Veliki Selišnik,Plesišče,1790
Veliki Selišnik,Planina Konjščica,1438
Veliki Travnik,Koča na Travniku,1548
Veliki Travnik,Mali Travnik,1532
Veliki Travnik,Planina Mali Travnik,1500
Veliki Travnik,Partizanska bolnica Mrzle vode,1226
Veliki Zvoh,Vrh Korena,1999
Veliki Zvoh,Kompotela,1989
Veliki Zvoh,Košutna,1974
Veliki Zvoh,Krvavec,1853
Veliki Zvoh,Planina Košutna,1778
Veliki Zvoh,Planina Dolga njiva (Krvavec),1688
Veliki Zvoh,Dom na Krvavcu,1684
Veliki Zvoh,Planina Koren,1675
Veliki Zvoh,Hotel Krvavec,1600
Veliki Zvoh,Kriška planina,1480
Veliki slap Kozjak,Tonovcov grad pri Kobaridu,500
Veliki slap Kozjak,Mali slap Kozjak,230
Veliki vrh,Slap Čedca,1350
Veliki vrh,Povšnarjeva planina,1330
Veliki vrh,Ovča koča,1323
Veliki vrh,Murijeva planina,1289
Veliki vrh (Košuta),Toplar,2000
Veliki vrh (Košuta),Košutica,1968
Veliki vrh (Košuta),Kofce gora,1967
Veliki vrh (Košuta),Lokovnikov Grintovec / Grintoutz,1809
Veliki vrh (Košuta),Zajmenove peči,1745
Veliki vrh (Košuta),Hajnžev Praprotnik / Zeller Prapotnik,1727
Veliki vrh (Košuta),Hajnževo sedlo,1701
Veliki vrh (Košuta),Planina Korošica,1554
Veliki vrh (Košuta),Dom na Kofcah,1488
Veliki vrh (Košuta),Planina Ilovica,1462
Veliki vrh (Polovnik),Krasji vrh,1773
Veliki vrh (Polovnik),Slap Slatenik,750
Veliki vrh (Polovnik),Dolina Škratov,700
Veliki vrh (Veža),Velika Zelenica,2114
Veliki vrh (Veža),Molička peč,2029
Veliki vrh (Veža),Mala Ojstrica,2017
Veliki vrh (Veža),Tolsti vrh (Veža),1985
Veliki vrh (Veža),Deska (Veža),1970
Veliki vrh (Veža),Dleskovec,1965
Veliki vrh (Veža),Jamarski bivak na Dleskovški planoti,1910
Veliki vrh (Veža),Vodotočno jezero (Veža),1850
Veliki vrh (Veža),Planina Dolga trata,1835
Veliki vrh (Veža),Kocbekov dom na Korošici,1808
Veliki vrh (Veža),Kapelica na Molički planini,1780
Veliki vrh (Veža),Planina Vodole,1570
Veliki vrh (nad Mežiško dolino),Jesenik,1199
Veliki vrh (nad Mežiško dolino),Šumahov vrh,1155
Veliki vrh (nad Mežiško dolino),Pikov vrh,1149
Veliki vrh (nad Mežiško dolino),Štalekarjev vrh,792
Veliki vrh nad Komatevro,Pečovnik (kota 1668),1668
Veliki vrh nad Komatevro,Pečovnik,1640
Veliki vrh nad Komatevro,Ruš,1614
Veliki vrh nad Komatevro,Lovska koča Stanič,1280
Veliki vrh nad Komatevro,Partizanska bolnica Krtina,1100
Veliki vrh nad Matkovim kotom,Matkov kot,920
Veliki vrh nad Matkovim kotom,Slap Palenk,730
Veliki vrh nad Završnikom,Zavetišče na Kalu,1112
Veliki vrh nad Završnikom,Kamnek,873
Veliki vrh nad Završnikom,Kušpergarjev turn (Kušpergarjevi turni),750
Veliki Šmohor,Vrh nad Peski,2176
Veliki Šmohor,Batognica,2164
Veliki Šmohor,Veliki Lemež,2042
Veliki Šmohor,Srednji vrh,2032
Veliki Šmohor,Vogel (nad Lepeno),1980
Veliki Šmohor,Mali Šmohor,1939
Veliki Šmohor,Planina na Polju,1530
Veliki Šmohor,Krnsko jezero,1391
Veliki Šmohor,Dom pri Krnskih jezerih,1385
Veliko Kladivo,Malo Kladivo,2036
Veliko Kladivo,Pungartska gora,2025
Veliko Kladivo,Kofce gora,1967
Veliko Kladivo,Škrbina,1869
Veliko Kladivo,Zavetišče na planini Šija,1528
Veliko Kladivo,Planina Ilovica,1462
Veliko Kladivo,Planina Pungrat,1447
Veliko Špičje,Plaski Vogel,2348
Veliko Špičje,Velika Zelnarica,2320
Veliko Špičje,Malo Špičje,2312
Veliko Špičje,Mala Zelnarica,2310
Veliko Špičje,Travnik,2252
Veliko Špičje,Čisti vrh,1875
Veliko Špičje,Jezero v Ledvicah,1831
Velo polje,Dom Planika pod Triglavom,2401
Velo polje,Mišelj vrh,2350
Velo polje,Tosc,2275
Velo polje,Veliki Draški vrh,2243
Velo polje,Vernar,2225
Velo polje,Cesar,2098
Velo polje,Prevalski Stog,2075
Velo polje,Vodnikov dom na Velem polju,1817
Velo polje,Planina Zgornja Krma,1720
Velo polje,Planina pod Mišelj vrhom,1645
Vernar,Dom Planika pod Triglavom,2401
Vernar,Mišelj vrh,2350
Vernar,Vrh Snežne konte,2342
Vernar,Tosc,2275
Vernar,Veliki Draški vrh,2243
Vernar,Cesar,2098
Vernar,Ablanca,2004
Vernar,Studorski preval,1892
Vernar,Vodnikov dom na Velem polju,1817
Vernar,Planina Zgornja Krma,1720
Vernar,Velo polje,1680
Vernar,Planina pod Mišelj vrhom,1645
Veronjak / Hausberg,Veliki Rob / Großer Rain,1464
Vetrh vrh,Stegovniški slap,872
Vevnica,Strug,2265
Vevnica,Zadnja Ponca,2242
Vevnica,Kotovo sedlo,2134
Vevnica,Bivak pod Kotovim sedlom,1965
Vevnica,Izvir Nadiže,1232
Veška kopa/Wackendorfer Spitze,Bistriška špica/Feistritzer Spitze,2113
Veška kopa/Wackendorfer Spitze,Končnikov vrh,2109
Veška kopa/Wackendorfer Spitze,Planina Zgornja Luža,1573
Veška kopa/Wackendorfer Spitze,Veška planina / Wackendorfer Alm,1568
Veška planina / Wackendorfer Alm,Veška kopa/Wackendorfer Spitze,2074
Vežica,Lučka Brana (Baba),2244
Vežica,Najvišji rob (Zeleniške špice),2127
Vežica,Lučki Dedec,2023
Vežica,Vršiči,1980
Vežica,Rzenik,1833
Vežica,Kocbekov dom na Korošici,1808
Vežica,Konj,1803
Vežica,Slap Orglice,870
Vgrizeva planina / Ogrisalm,Ovčji vrh (Kozjak) / Geissberg (Kosiak),2024
Vgrizeva planina / Ogrisalm,Svačica,1953
Vgrizeva planina / Ogrisalm,Rjavca / Rjautza,1789
Vgrizeva planina / Ogrisalm,Bela peč / Weiße Wand,1665
Vgrizeva planina / Ogrisalm,Celovška koča / Klagenfurter Hutte,1664
Vgrizeva planina / Ogrisalm,Kosmatica / Kosmatitza,1659
Vgrizeva planina / Ogrisalm,Požgani rob,1513
Vgrizeva planina / Ogrisalm,Veliki Rob / Großer Rain,1464
Vinska gora,Ramšakov vrh,970
Vinska gora,Temnjak,798
Virnikov Grintovec,Roblekova planina,1284
Virnikov Grintovec,Žmitkov špic,1124
Visoka Bavha,Grpišca,1676
Visoka Bavha,Kamnati vrh,1658
Visoka Bavha,Jerebikovec,1621
Visoka Bavha,Rekaršica,1554
Visoka Bavha,Srnjak,955
Visoka Bela Špica / Cima Alta di Riobianco,Bivak Gorizia,1950
Visoka Bela Špica / Cima Alta di Riobianco,Rifugio Corsi,1874
Visoka Bela Špica / Cima Alta di Riobianco,Viška planina,1530
Visoka Bela Špica / Cima Alta di Riobianco,Rifugio Brunner,1432
Visoka Ponca,Strug,2265
Visoka Ponca,Zadnja Ponca,2242
Visoka Ponca,Srednja Ponca,2228
Visoka Ponca,Mala Ponca,1925
Visoka Ponca,Glave,1760
Visoka Ponca,Zavetišče pod Ponco,1657
Visoka Ponca,Rifugio Zacchi,1380
Visoka Ponca,Izvir Nadiže,1232
Visoka Ponca,Dom v Tamarju,1108
Visoka Vrbanova špica,Kredarica,2541
Visoka Vrbanova špica,Rž,2538
Visoka Vrbanova špica,Rjavina,2532
Visoka Vrbanova špica,Triglavski dom na Kredarici,2515
Visoka Vrbanova špica,Begunjski vrh,2461
Visoka Vrbanova špica,Cmir,2393
Visoka Vrbanova špica,Vrh Snežne konte,2342
Visoka Vrbanova špica,Dom Valentina Staniča pod Triglavom,2332
Visoka Vrbanova špica,Spodnja Vrbanova špica,2299
Visoka glava,Prvi Vogel,2181
Visoka glava,Velika Tičarica,2091
Visoka glava,Slatna,2077
Visoka glava,Mala Tičarica,2071
Visoka glava,Kreda,2025
Visoka glava,Vrh nad Vodeno Rupo,1995
Visoka glava,Bela glava,1926
Visoka glava,Rušnata glava,1899
Visoka glava,Kovačičeva glava,1827
Visoka glava,Vrtec,1809
Visoka glava,Stadorski Orliči,1782
Visoka glava,Rigeljc,1768
Visoka glava,Koča pri Triglavskih jezerih,1685
Visoka glava,Planina Ovčarija,1660
Visoka glava,Planina Viševnik,1625
Visoka glava,Planina Dedno Polje,1560
Visoka glava,Črno jezero,1294
Visoka glava (na Matajurju),Matajur,1642
Visoka glava (na Matajurju),Dom na Matajure,1545
Visoka glava (na Matajurju),Svinska planina,1214
Visoka peč,Ciprnik,1745
Visoki Kanin,Mali Kanin,2571
Visoki Kanin,Vrh Krnice,2441
Visoki Kanin,Bivak Marrusich,2041
Visoki Mavrinc,Prednje Robičje,1941
Visoki Mavrinc,Kumlehova glava,1788
Visoki Mavrinc,Erjavčeva koča na Vršiču,1525
Visoki Mavrinc,Tonkina koča na Vršiču,1380
Visoki Mavrinc,Koča na Gozdu,1226
Visoki Mavrinc,Ruska kapelica,1130
Visoki Mavrinc,Mihov dom na Vršiču,1085
Visoki Orlov rob,Vogel,1922
Visoki Orlov rob,Šija,1880
Visoki Orlov rob,Vrh Dlani,1852
Visoki Orlov rob,Zavitar,1750
Visoki Orlov rob,Orlove glave,1682
Visoki Orlov rob,Planina Zadnji Vogel,1413
Visoki Orlov rob,Planina Suha,1385
Visoki Orlov rob,Planina v Prodih,1070
Visoki Rokav,Škrlatica,2740
Visoki Rokav,Veliki Oltar,2621
Visoki Rokav,Velika Martuljška Ponca,2602
Visoki Rokav,Dolkova špica,2591
Visoki Rokav,Rogljica,2547
Visoki Rokav,Dovški križ,2542
Visoki Rokav,Mala Martuljška Ponca,2501
Visoki Rokav,Spodnji Rokav,2500
Visoki Rokav,Široka peč,2497
Visoki Rokav,Špik,2472
Visoki Rokav,Šplevta,2272
Visoki Rokav,Bivak na Jezerih,2118
Visoki Rokav,Na Pečeh,2039
Visoki Rokav,Bivak na Rušju,1980
Visoki Rokav,Pri treh macesnih,1810
Visoki vrh,Mojstrovica,1816
Visoki vrh nad Jezerskim,Vratca,1802
Visoki vrh nad Jezerskim,Češka koča na Spodnjih Ravneh,1542
Visoki vrh nad Jezerskim,Javornik nad Jezerskim,1399
Visoki vrh nad Jezerskim,Slap Čedca,1350
Visoki vrh nad Jezerskim,Skubrov vrh,1276
Visoki vrh nad Jezerskim,Turni,1240
Visoko,Ostrica,1182
Visoko,Špik (Paški Kozjak),1108
Visoko,Sveti Jošt na Paškem Kozjaku,1063
Visoko,Plakopec (Brezejec),1005
Visoko,Ramšakov vrh,970
Visoko,Dom na Paškem Kozjaku,960
Vivodnik,Špic,1499
Vivodnik,Dom na Menini planini,1453
Viš/Jof Fuart,Koštrunove špice,2502
Viš/Jof Fuart,Špik nad Planjo / Punta Plagnis,2411
Viš/Jof Fuart,Vrh Krnega dola / Monte Cregnedul,2351
Viš/Jof Fuart,Veliki Nabojs / Monte Nabois grande,2313
Viš/Jof Fuart,Rifugio Corsi,1874
Viš/Jof Fuart,Viška planina,1530
Viš/Jof Fuart,Rifugio Pellarini,1499
Višarska planina / Malga di Lussari,Kamniti lovec / Cima del Cacciatore,2071
Višarska planina / Malga di Lussari,Svete Višarje / Monte Lussari,1766
Višarska planina / Malga di Lussari,Florjanka / Monte Florianca,1653
Viševnik,Veliki Draški vrh,2243
Viševnik,Mali Draški vrh,2132
Viševnik,Ablanca,2004
Viševnik,Draški rob,1979
Viševnik,Debeli vrh nad Lipanco,1962
Viševnik,Veliki Selišnik,1952
Viševnik,Studorski preval,1892
Viševnik,Srednji Selišnik,1890
Viševnik,Plesišče,1790
Viševnik,Planina Konjščica,1438
Viška planina,Viš/Jof Fuart,2666
Viška planina,Koštrunove špice,2502
Viška planina,Špik nad Planjo / Punta Plagnis,2411
Viška planina,Vrh Krnega dola / Monte Cregnedul,2351
Viška planina,Visoka Bela Špica / Cima Alta di Riobianco,2257
Viška planina,Bivak Gorizia,1950
Viška planina,Rifugio Corsi,1874
Vodnikov Vršac (Vršac nad Zadnjico),Kanjavec,2569
Vodnikov Vršac (Vršac nad Zadnjico),Kanjavec (Zahodni vrh),2569
Vodnikov Vršac (Vršac nad Zadnjico),Poprovec,2496
Vodnikov Vršac (Vršac nad Zadnjico),Teme (Hribarice),2495
Vodnikov Vršac (Vršac nad Zadnjico),Mišeljski Konec,2464
Vodnikov Vršac (Vršac nad Zadnjico),Vršaki (Vzhodni vrh),2448
Vodnikov Vršac (Vršac nad Zadnjico),Vršaki (Južni vrh),2431
Vodnikov Vršac (Vršac nad Zadnjico),Vršaki (Srednji vrh),2424
Vodnikov Vršac (Vršac nad Zadnjico),Vršaki (Vrh za Koritami),2422
Vodnikov Vršac (Vršac nad Zadnjico),Malo Špičje,2312
Vodnikov Vršac (Vršac nad Zadnjico),Koča na Doliču,2151
Vodnikov Vršac (Vršac nad Zadnjico),Zadnjiški Ozebnik,2084
Vodnikov Vršac (Vršac nad Zadnjico),Zasavska koča na Prehodavcih,2071
Vodnikov Vršac (Vršac nad Zadnjico),Rjavo jezero,2006
Vodnikov Vršac (Vršac nad Zadnjico),Zeleno jezero,1988
Vodnikov dom na Velem polju,Mišelj vrh,2350
Vodnikov dom na Velem polju,Tosc,2275
Vodnikov dom na Velem polju,Veliki Draški vrh,2243
Vodnikov dom na Velem polju,Vernar,2225
Vodnikov dom na Velem polju,Cesar,2098
Vodnikov dom na Velem polju,Ablanca,2004
Vodnikov dom na Velem polju,Studorski preval,1892
Vodnikov dom na Velem polju,Planina Zgornja Krma,1720
Vodnikov dom na Velem polju,Velo polje,1680
Vodnikov dom na Velem polju,Planina pod Mišelj vrhom,1645
Vodotočno jezero (Veža),Velika Zelenica,2114
Vodotočno jezero (Veža),Veliki vrh (Veža),2110
Vodotočno jezero (Veža),Lučki Dedec,2023
Vodotočno jezero (Veža),Mala Ojstrica,2017
Vodotočno jezero (Veža),Tolsti vrh (Veža),1985
Vodotočno jezero (Veža),Vršiči,1980
Vodotočno jezero (Veža),Deska (Veža),1970
Vodotočno jezero (Veža),Lastovec,1841
Vodotočno jezero (Veža),Kocbekov dom na Korošici,1808
Vodotočno jezero (Veža),Kapelica na Molički planini,1780
Vodotočno jezero (Veža),Planina Vodole,1570
Vodotočno jezero (Veža),Planina Podvežak,1564
Vogel,Rušnati vrh,1915
Vogel,Vrh Krnic,1896
Vogel,Šija,1880
Vogel,Vrh Planje (nad Globokim),1863
Vogel,Vrh Dlani,1852
Vogel,Žabiški Kuk,1844
Vogel,Visoki Orlov rob,1800
Vogel,Planina Zadnji Vogel,1413
Vogel,Koča na planini Razor,1315
Vogel,Planina v Prodih,1070
Vogel (nad Lepeno),Krnčica,2142
Vogel (nad Lepeno),Veliki Lemež,2042
Vogel (nad Lepeno),Lopatnik,2012
Vogel (nad Lepeno),Veliki Šmohor,1944
Vogel (nad Lepeno),Mali Šmohor,1939
Vogel (nad Lepeno),Planina na Polju,1530
Vogel (nad Lepeno),Krnsko jezero,1391
Vogel (nad Lepeno),Planina Zagreben,1240
Volinjak,Andrejev vrh,897
Volinjak,Leški cerkvi,674
Votlina Kralja Matjaža,Kordeževa glava (Peca),2125
Votlina Kralja Matjaža,Mala Peca,1731
Votlina Kralja Matjaža,Dom na Peci,1665
Vovar,Sveti Primož in Sveti Peter,826
Vošca,Zajčnik,1746
Vošca,Tamarča,1728
Vošca,Grpišca,1676
Vošca,Blekova planina,1629
Vošca,Jureževa planina,1488
Vošni vrh,Klečica,1889
Vošni vrh,Frčkova planina,1335
Vrata,Tolsti vrh,1715
Vrata,Koča na Kriški gori,1471
Vrata,Planica (vzletišče Gozd),926
Vrata,Zavetišče v Gozdu,891
Vratca,Grintovec,2558
Vratca,Jezerska Kočna,2540
Vratca,Kokrska Kočna,2520
Vratca,Na Križu (Kokrska Kočna),2484
Vratca,Dolgi hrbet,2473
Vratca,Kranjska koča na Ledinah,1700
Vratca,Češka koča na Spodnjih Ravneh,1542
Vratca,Visoki vrh nad Jezerskim,1459
Vratca,Slap Čedca,1350
Vrh Bače,Slatnik (severozahodni vrh),1609
Vrh Bače,Možic,1602
Vrh Bače,Slatnik (jugovzhodni vrh),1597
Vrh Bače,Šavnik,1574
Vrh Bače,Kravja Črna gora,1541
Vrh Bače,Krevl,1515
Vrh Bače,Kobla,1498
Vrh Bače,Planina za Šavnikom,1320
Vrh Bače,Lovčev bivak Pri Koucah,1192
Vrh Bače,Kup,1046
Vrh Bače,Sveti Lenart (Bača pri Podbrdu),751
Vrh Brda / Cima Verde,Montaž / Jôf di Montasio,2753
Vrh Brda / Cima Verde,Bivak Suringar,2430
Vrh Brda / Cima Verde,Špik Hude police / Cima di Terrarossa,2420
Vrh Brda / Cima Verde,Bivak Stuparich,1587
Vrh Dlani,Vogel,1922
Vrh Dlani,Vrh Krnic,1896
Vrh Dlani,Šija,1880
Vrh Dlani,Visoki Orlov rob,1800
Vrh Dlani,Zavitar,1750
Vrh Dlani,Orlove glave,1682
Vrh Dlani,Planina Zadnji Vogel,1413
Vrh Dlani,Planina v Prodih,1070
Vrh Grubje,Vrh Krnice,2441
Vrh Grubje,Žrd / Sart,2324
Vrh Grubje,Bivak Marrusich,2041
Vrh Hribaric,Kanjavec,2569
Vrh Hribaric,Kanjavec (Zahodni vrh),2569
Vrh Hribaric,Poprovec,2496
Vrh Hribaric,Teme (Hribarice),2495
Vrh Hribaric,Mišeljski Konec,2464
Vrh Hribaric,Vršaki (Vzhodni vrh),2448
Vrh Hribaric,Vršaki (Južni vrh),2431
Vrh Hribaric,Vršaki (Srednji vrh),2424
Vrh Hribaric,Vršaki (Vrh za Koritami),2422
Vrh Hribaric,Debeli vrh,2390
Vrh Hribaric,Šmarjetna glava,2358
Vrh Hribaric,Mišelj vrh,2350
Vrh Hribaric,Zadnji Vogel,2327
Vrh Hribaric,Škednjovec,2309
Vrh Hribaric,Koča na Doliču,2151
Vrh Hribaric,Prevalski Stog,2075
Vrh Hribaric,Eva,2019
Vrh Hribaric,Adam,2012
Vrh Hribaric,Rjavo jezero,2006
Vrh Hribaric,Zeleno jezero,1988
Vrh Korena,Kompotela,1989
Vrh Korena,Košutna,1974
Vrh Korena,Veliki Zvoh,1971
Vrh Korena,Mokrica,1853
Vrh Korena,Planina Košutna,1778
Vrh Korena,Planina Dolga njiva (Krvavec),1688
Vrh Korena,Planina Koren,1675
Vrh Krnega dola / Monte Cregnedul,Viš/Jof Fuart,2666
Vrh Krnega dola / Monte Cregnedul,Špik nad Nosom / Foronon del Buinz,2531
Vrh Krnega dola / Monte Cregnedul,Koštrunove špice,2502
Vrh Krnega dola / Monte Cregnedul,Špik nad Planjo / Punta Plagnis,2411
Vrh Krnega dola / Monte Cregnedul,Rifugio Corsi,1874
Vrh Krnega dola / Monte Cregnedul,Viška planina,1530
Vrh Krnic,Vogel,1922
Vrh Krnic,Rušnati vrh,1915
Vrh Krnic,Šija,1880
