ime planinske točke,ime bližnje točke,višina bližnje točke (m)
Bivak pod Skuto,Dom na Okrešlju,1396
Bivak pod Špikom,Velika Martuljška Ponca,2602
Bivak pod Špikom,Mala Martuljška Ponca,2501
Bivak pod Špikom,Špik,2472
Bivak pod Špikom,Rigljica,2074
Bivak pod Špikom,Na Pečeh,2039
Bivak pod Špikom,Pri treh macesnih,1810
Bivak pod Špikom,Kurji vrh,1762
Bivak pod Špikom,Bivak Za Akom,1340
Bivak pod Špikom,Zgornji Martuljkov slap,1150
Bivak pod Špikom,Ingotova koča na planini Jesenje,930
Bivak pod Špikom,Spodnji Martuljkov slap,850
Bivak v Kočni,Grintovec,2558
Bivak v Kočni,Jezerska Kočna,2540
Bivak v Kočni,Kokrska Kočna,2520
Bivak v Kočni,Na Križu (Kokrska Kočna),2484
Bivak v Kočni,Bivak pod Grintovcem,2100
Bivak v Kočni,Cojzova koča na Kokrskem sedlu,1793
Blejska koča na Lipanci,Debela peč,2014
Blejska koča na Lipanci,Brda,2008
Blejska koča na Lipanci,Lipanski vrh,1974
Blejska koča na Lipanci,Mrežce,1965
Blejska koča na Lipanci,Okroglež,1965
Blejska koča na Lipanci,Debeli vrh nad Lipanco,1962
Blejska koča na Lipanci,Vrh Razora,1893
Blejski grad,Straža,646
Blejski grad,Dobra gora,620
Blekova planina,Zajčnik,1746
Blekova planina,Vošca,1737
Blekova planina,Jureževa planina,1488
Bogatin,Mahavšček,2008
Bogatin,Lanževica,2003
Bogatin,Velika Montura,1958
Bogatin,Vrh Škrli,1926
Bogatin,Kser,1900
Bogatin,Planina Dobrenjščica,1304
Borovje,Planica,1508
Borovje,Lovska koča na Brvogih,1425
Borovje,Rovt Vrse,1200
Borovje,Erjavčev rovt (Planina Mlinca),1105
Borovski vrh (Žehtar) / Sechter,Grlovec / Ferlacher Horn,1840
Boršt,Planina Obranica,1035
Boršt,Vrše,850
Boršt,Hom pri Bledu,834
Boršt,Poljanska baba,830
Boršt,Žerjavec (Kavče),805
Boršt,Jamnikov spodmol,720
Boršt,Spominsko obeležje Aleš Kunaver,660
Boršt,Slap Šum v Blejskem Vintgarju,520
Boskovec,Javorca (Golte),1465
Boskovec,Hotel Golte,1410
Boskovec,Mozirska koča na Golteh,1356
Bovški Gamsovec,Stenar,2501
Bovški Gamsovec,Pihavec,2419
Bovški Gamsovec,Križ,2410
Bovški Gamsovec,Kriški rob,2366
Bovški Gamsovec,Spodnji Stenar,2356
Bovški Gamsovec,Zgornje Kriško jezero,2158
Bovški Gamsovec,Pogačnikov dom na Kriških podih,2050
Bovški Gamsovec,Spodnje Kriško jezero,1880
Bovški Gamsovec,Luknja,1758
Bovški Gamsovec,Lovska koča Na Utrci,1500
Bovški Gamsovec,Bivak pod Luknjo,1480
Boč,Dom na Boču,698
Boč,Formila na Boču,624
Boč,Planinska koča Velikonočnica,550
Boč,Studeniški grad,315
Brana,Mala Rinka,2289
Brana,Turska gora,2251
Brana,Bivak pod Skuto,2070
Brana,Kamniška koča na Kamniškem sedlu,1864
Brana,Pri Pastirjih,1430
Brana,Dom na Okrešlju,1396
Brana,Orlovo gnezdo (Slap Rinka),1000
Brda,Debela peč,2014
Brda,Lipanski vrh,1974
Brda,Mrežce,1965
Brda,Okroglež,1965
Brda,Debeli vrh nad Lipanco,1962
Brda,Vrh Razora,1893
Brda,Klečica,1889
Brda,Blejska koča na Lipanci,1630
Brda,Kovinarska koča v Krmi,870
Brezje / Montemaggiore,Breški Jalovec / Punta di Montemaggiore,1613
Brezje / Montemaggiore,Rio Bianco / Beli potok,770
Brezovec,Gora Oljka,733
Breška planina,Šentanski vrh,1635
Breška planina,Dobrča,1634
Breška planina,Koča na Dobrči,1478
Breška planina,Lešanska planina,1450
Breška planina,Bistriška planina,1057
Breška planina,Vaško,1046
Breška planina,Tominčev slap,750
Breški Jalovec / Punta di Montemaggiore,Nizki vrh,1488
Breški Jalovec / Punta di Montemaggiore,Brezje / Montemaggiore,819
Breški Jalovec / Punta di Montemaggiore,Rio Bianco / Beli potok,770
Briceljk,Lovska koča Bala,1300
Briceljk,Planina Bala,1181
Bukovec,Ruš,1614
Bukovec,Močnikova planina,1275
Bukovec,Partizanska bolnica Krtina,1100
Celovška koča / Klagenfurter Hutte,Stol,2236
Celovška koča / Klagenfurter Hutte,Prešernova koča na Stolu,2174
Celovška koča / Klagenfurter Hutte,Ovčji vrh (Kozjak) / Geissberg (Kosiak),2024
Celovška koča / Klagenfurter Hutte,Svačica,1953
Celovška koča / Klagenfurter Hutte,Srednja peč,1920
Celovška koča / Klagenfurter Hutte,Kosmatica / Kosmatitza,1659
Celovška koča / Klagenfurter Hutte,Vgrizeva planina / Ogrisalm,1569
Cesar,Mali Triglav,2725
Cesar,Kredarica,2541
Cesar,Rž,2538
Cesar,Triglavski dom na Kredarici,2515
Cesar,Dom Planika pod Triglavom,2401
Cesar,Vrh Snežne konte,2342
Cesar,Tosc,2275
Cesar,Veliki Draški vrh,2243
Cesar,Vernar,2225
Cesar,Vodnikov dom na Velem polju,1817
Cesar,Planina Zgornja Krma,1720
Cesar,Velo polje,1680
Ciprnik,Visoka peč,1749
Ciprnik,Mojčin dom na Vitrancu,1555
Cjajnik / Lärchenturm,Košutnikov turn,2133
Cjajnik / Lärchenturm,Pungartska gora,2025
Cjajnik / Lärchenturm,Mejnik,1517
Cjajnik / Lärchenturm,Tegoška planina,1430
Cjajnik / Lärchenturm,Koča pod Košuto / Koschutahaus,1280
Cjanovca,Srednji vrh,1853
Cjanovca,Mali Grintovec,1813
Cjanovca,Licjanovec,1733
Cjanovca,Planina Dolga njiva,1600
Cjanovca,Dom na Kališču,1534
Cjanovca,Planina Kališče,1450
Cjanovca,Zavetišče v Hudičevem borštu,1328
Cmir,Rjavina,2532
Cmir,Begunjski vrh,2461
Cmir,Visoka Vrbanova špica,2408
Cmir,Dom Valentina Staniča pod Triglavom,2332
Cmir,Spodnja Vrbanova špica,2299
Cmir,Požgana Mlinarica,1868
Cmir,Rušnata Mlinarica,1777
Cmir,Aljažev dom v Vratih,1015
Cojzova koča na Kokrskem sedlu,Grintovec,2558
Cojzova koča na Kokrskem sedlu,Kalški greben,2224
Cojzova koča na Kokrskem sedlu,Bivak pod Grintovcem,2100
Cojzova koča na Kokrskem sedlu,Kogel,2100
Cojzova koča na Kokrskem sedlu,Kalška gora,2047
Cojzova koča na Kokrskem sedlu,Bivak v Kočni,1952
Debela peč,Brda,2008
Debela peč,Lipanski vrh,1974
Debela peč,Mrežce,1965
Debela peč,Okroglež,1965
Debela peč,Klečica,1889
Debela peč,Blejska koča na Lipanci,1630
Debela peč,Kovinarska koča v Krmi,870
Debeli vrh,Poprovec,2496
Debeli vrh,Mišeljski Konec,2464
Debeli vrh,Vršaki (Vzhodni vrh),2448
Debeli vrh,Vršaki (Južni vrh),2431
Debeli vrh,Vršaki (Srednji vrh),2424
Debeli vrh,Vršaki (Vrh za Koritami),2422
Debeli vrh,Vrh Hribaric,2388
Debeli vrh,Zadnji Vogel,2327
Debeli vrh,Velika Zelnarica,2320
Debeli vrh,Mala Zelnarica,2310
Debeli vrh,Škednjovec,2309
Debeli vrh,Srednji Vogel,2226
Debeli vrh,Prvi Vogel,2181
Debeli vrh,Ogradi,2087
Debeli vrh,Slatna,2077
Debeli vrh,Prevalski Stog,2075
Debeli vrh,Kreda,2025
Debeli vrh,Eva,2019
Debeli vrh,Adam,2012
Debeli vrh,Zeleno jezero,1988
Debeli vrh,Planina Jezerce,1720
Debeli vrh,Planina v Lazu,1560
Debeli vrh nad Lipanco,Mali Draški vrh,2132
Debeli vrh nad Lipanco,Viševnik,2050
Debeli vrh nad Lipanco,Brda,2008
Debeli vrh nad Lipanco,Draški rob,1979
Debeli vrh nad Lipanco,Lipanski vrh,1974
Debeli vrh nad Lipanco,Mrežce,1965
Debeli vrh nad Lipanco,Veliki Selišnik,1952
Debeli vrh nad Lipanco,Vrh Razora,1893
Debeli vrh nad Lipanco,Srednji Selišnik,1890
Debeli vrh nad Lipanco,Blejska koča na Lipanci,1630
Deska (Veža),Velika Zelenica,2114
Deska (Veža),Veliki vrh (Veža),2110
Deska (Veža),Lučki Dedec,2023
Deska (Veža),Mala Ojstrica,2017
Deska (Veža),Tolsti vrh (Veža),1985
Deska (Veža),Vršiči,1980
Deska (Veža),Dleskovec,1965
Deska (Veža),Jamarski bivak na Dleskovški planoti,1910
Deska (Veža),Vodotočno jezero (Veža),1850
Deska (Veža),Lastovec,1841
Deska (Veža),Kocbekov dom na Korošici,1808
Deska (Veža),Kapelica na Molički planini,1780
Deska (Veža),Planina Vodole,1570
Deska (Veža),Planina Podvežak,1564
Dleskovec,Velika Zelenica,2114
Dleskovec,Veliki vrh (Veža),2110
Dleskovec,Molička peč,2029
Dleskovec,Tolsti vrh (Veža),1985
Dleskovec,Deska (Veža),1970
Dleskovec,Jamarski bivak na Dleskovški planoti,1910
Dleskovec,Planina Dolga trata,1835
Dleskovec,Planina Polšak,1695
Dleskovec,Planina Vodole,1570
Dleskovec,Planina Podvežak,1564
Dleskovec,Planina Ravne,1500
Dobra gora,Straža,646
Dobra gora,Blejski grad,599
Dobra gora,Kapelica Na Koren,550
Dobrča,Šentanski vrh,1635
Dobrča,Koča na Dobrči,1478
Dobrča,Lešanska planina,1450
Dobrča,Breška planina,1100
Dobrča,Bistriška planina,1057
Dobrča,Tominčev slap,750
Dolgi hrbet,Grintovec,2558
Dolgi hrbet,Jezerska Kočna,2540
Dolgi hrbet,Skuta,2532
Dolgi hrbet,Štruca,2457
Dolgi hrbet,Kranjska Rinka,2453
Dolgi hrbet,Koroška Rinka (Križ),2433
Dolgi hrbet,Štajerska Rinka,2374
Dolgi hrbet,Mala Rinka,2289
Dolgi hrbet,Velika (Koroška) Baba,2127
Dolgi hrbet,Storžek,2110
Dolgi hrbet,Ledinski vrh,2108
Dolgi hrbet,Bivak pod Grintovcem,2100
Dolgi hrbet,Kogel,2100
Dolgi hrbet,Bivak pod Skuto,2070
Dolgi hrbet,Vratca,1802
Dolgi hrbet,Kranjska koča na Ledinah,1700
Dolgi hrbet,Češka koča na Spodnjih Ravneh,1542
Dolina Škratov,Veliki vrh (Polovnik),1768
Dolina Škratov,Javoršček,1557
Dolina Škratov,Humčič,810
Dolina Škratov,Slap Slatenik,750
Dolkova špica,Škrlatica,2740
Dolkova špica,Visoki Rokav,2646
Dolkova špica,Veliki Oltar,2621
Dolkova špica,Velika Martuljška Ponca,2602
Dolkova špica,Rogljica,2547
Dolkova špica,Spodnji Rokav,2500
Dolkova špica,Križ,2410
Dolkova špica,Gubno,2403
Dolkova špica,Šplevta (Indijanec),2382
Dolkova špica,Bivak na Rušju,1980
Dom Petra Skalarja na Kaninu,Prestreljenik,2499
Dom Petra Skalarja na Kaninu,Prestreljeniško okno,2391
Dom Petra Skalarja na Kaninu,Vrh Osojnic,2371
Dom Petra Skalarja na Kaninu,Konjc,2289
Dom Petra Skalarja na Kaninu,Stara koča na Kaninu,1814
Dom Planika pod Triglavom,Triglav,2864
Dom Planika pod Triglavom,Mali Triglav,2725
Dom Planika pod Triglavom,Glava v Zaplanji,2556
Dom Planika pod Triglavom,Kredarica,2541
Dom Planika pod Triglavom,Rž,2538
Dom Planika pod Triglavom,Morbegna,2520
Dom Planika pod Triglavom,Triglavski dom na Kredarici,2515
Dom Planika pod Triglavom,Šmarjetna glava,2358
Dom Planika pod Triglavom,Mišelj vrh,2350
Dom Planika pod Triglavom,Vrh Snežne konte,2342
Dom Planika pod Triglavom,Vernar,2225
Dom Planika pod Triglavom,Cesar,2098
Dom Planika pod Triglavom,Planina Zgornja Krma,1720
Dom Planika pod Triglavom,Velo polje,1680
Dom Pristava v Javorniškem Rovtu,Španov vrh,1334
Dom Pristava v Javorniškem Rovtu,Velika Boncla,1241
Dom Pristava v Javorniškem Rovtu,Mala Boncla (Bavha),1131
Dom Pristava v Javorniškem Rovtu,Jelenkamen,1096
Dom Pristava v Javorniškem Rovtu,Izvir Javornika,1000
Dom Pristava v Javorniškem Rovtu,Javorniški slapovi,690
Dom Valentina Staniča pod Triglavom,Mali Triglav,2725
Dom Valentina Staniča pod Triglavom,Kredarica,2541
Dom Valentina Staniča pod Triglavom,Rž,2538
Dom Valentina Staniča pod Triglavom,Rjavina,2532
Dom Valentina Staniča pod Triglavom,Triglavski dom na Kredarici,2515
Dom Valentina Staniča pod Triglavom,Begunjski vrh,2461
Dom Valentina Staniča pod Triglavom,Visoka Vrbanova špica,2408
Dom Valentina Staniča pod Triglavom,Cmir,2393
Dom Valentina Staniča pod Triglavom,Vrh Snežne konte,2342
Dom Valentina Staniča pod Triglavom,Spodnja Vrbanova špica,2299
Dom na Boču,Boč,978
Dom na Boču,Planinska koča Velikonočnica,550
Dom na Dobrovljah,Bezovec (Dobrovlje),857
Dom na Gospincu,Krvavec,1853
Dom na Gospincu,Dom na Krvavcu,1684
Dom na Gospincu,Kržišče (Pokovše),1658
Dom na Gospincu,Hotel Krvavec,1600
Dom na Gospincu,Kriška planina,1480
Dom na Gospincu,Planina Jezerca,1410
Dom na Kališču,Storžič,2132
