točka,vrsta
Malo Špičje,vrh
Maloško poldne / Mallestiger Mittagskogel,vrh
Mangart,vrh
Mangartska koča na Mangartskem sedlu,koča
Mangartska planina,planina
Marija Snežna (Kavalar) / Madonna della Neve,cerkev
Marija Snežna (Kavalar) / Madonna della Neve,planina
Marija Snežna v Breginjskem kotu,vrh
Marija Snežna v Breginjskem kotu,cerkev
Markljev Rovt,planina
Matajur,vrh
Matajur,cerkev
Matajurski vrh,vrh
Matkov kot,
Matkova kopa,vrh
Mačenski vrh / Matschacher Gupf,vrh
Medvedjak,vrh
Meja,vrh
Mejnik,vrh
Mesnovec,vrh
Mešenik,vrh
Mihov dom na Vršiču,koča
Mihčeva kopišča,planina
Mirca,vrh
Mišelj vrh,vrh
Mišeljski Konec,vrh
Mladinski izobraževalni center v Bavšici,planina
Mojstrovica,vrh
Mojčin dom na Vitrancu,koča
Mokrica,vrh
Mokrišče Blata,
Molička peč,vrh
Montaž / Jôf di Montasio,vrh
Morbegna,
Mornova zijalka,
Mozirska koča na Golteh,koča
Močnikova planina,planina
Možic,vrh
Mrežce,vrh
Mrzla gora,vrh
Mrzli vrh (na Matajurju),vrh
Mrzli vrh nad planino Pretovč,vrh
Murijeva planina,planina
Murnovc,vrh
Muzec (Musc),vrh
Na Križu (Kokrska Kočna),vrh
Na Možeh,vrh
Na Pečeh,vrh
Na pečeh pri Črnem Vrhu,vrh
Najvišji rob (Zeleniške špice),vrh
Nemške glave,vrh
Nizki vrh ,vrh
Novi grad (Pusti grad),vrh
Obel kamen (Olševa),vrh
Obirska planina,planina
Ogradi,vrh
Ojstra / Oistra,vrh
Ojstrc / Hochobir,vrh
Ojstri vrh (nad Prevalo),vrh
Ojstrica,vrh
Okrepčevalnica Slap Voje,koča
Okroglež,vrh
Orlove glave,vrh
Orlovo gnezdo (Slap Rinka),koča
Orlovo gnezdo (Slap Rinka),slap
Orožnova koča na planini za Liscem,koča
Orožnova koča na planini za Liscem,planina
Ostra peč / Mallestiger Mittagskogel,vrh
Ostrica,vrh
